V4_1,data marking,time_codelist,time,geography_codelist,geography,estimate_codelist,estimate,measureofwellbeing_codelist,measure of wellbeing
10.04,,year ending,2012 Q4 - 2013 Q3,S92000003,Scotland,poor,Poor,happiness,Happiness
8.9,,year ending,2014 Q2 - 2015 Q1,E92000001,England,poor,Poor,happiness,Happiness
16.78,,year ending,2013 Q4 - 2014 Q3,W92000004,Wales,fair,Fair,anxiety,Anxiety
19.73,,year ending,2014 Q1 - 2014 Q4,E92000001,England,poor,Poor,anxiety,Anxiety
17.75,,year ending,2012 Q1 - 2012 Q4,E92000001,England,fair,Fair,anxiety,Anxiety
26.19,,year ending,2011 Q4 - 2012 Q3,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
51.92,,year ending,2016 Q4 - 2017 Q3,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
17.24,,year ending,2012 Q1 - 2012 Q4,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
17.44,,year ending,2011 Q2 - 2012 Q1,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
5.98,,year ending,2011 Q4 - 2012 Q3,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
28.93,,year ending,2014 Q3 - 2015 Q2,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
49.23,,year ending,2011 Q4 - 2012 Q3,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
12.8,,year ending,2015 Q2 - 2016 Q1,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
7.86,,year ending,2016 Q2 - 2017 Q1,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
40.95,,year ending,2012 Q3 - 2013 Q2,K02000001,United Kingdom,good,Good,happiness,Happiness
7.35,,year ending,2012 Q4 - 2013 Q3,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
32.7,,year ending,2013 Q2 - 2014 Q1,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
3.08,,year ending,2011 Q3 - 2012 Q2,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
19.16,,year ending,2014 Q3 - 2015 Q2,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
17.59,,year ending,2011 Q2 - 2012 Q1,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
5.51,,year ending,2012 Q1 - 2012 Q4,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
7.57,,year ending,2014 Q1 - 2014 Q4,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.56,,year ending,2014 Q2 - 2015 Q1,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
29.42,,year ending,2015 Q3 - 2016 Q2,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
4.34,,year ending,2016 Q2 - 2017 Q1,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
4.29,,year ending,2012 Q3 - 2013 Q2,E92000001,England,poor,Poor,worthwhile,Worthwhile
4.49,,year ending,2013 Q3 - 2014 Q2,W92000004,Wales,poor,Poor,worthwhile,Worthwhile
12.56,,year ending,2015 Q4 - 2016 Q3,W92000004,Wales,fair,Fair,worthwhile,Worthwhile
35.16,,year ending,2016 Q2 - 2017 Q1,E92000001,England,very-good,Very good,worthwhile,Worthwhile
12.5,,year ending,2016 Q2 - 2017 Q1,W92000004,Wales,fair,Fair,worthwhile,Worthwhile
3.82,,year ending,2016 Q2 - 2017 Q1,S92000003,Scotland,poor,Poor,worthwhile,Worthwhile
12.3,,year ending,2016 Q3 - 2017 Q2,E92000001,England,fair,Fair,worthwhile,Worthwhile
38.01,,year ending,2011 Q2 - 2012 Q1,W92000004,Wales,good,Good,happiness,Happiness
10.38,,year ending,2012 Q1 - 2012 Q4,E92000001,England,poor,Poor,happiness,Happiness
31.27,,year ending,2012 Q2 - 2013 Q1,S92000003,Scotland,very-good,Very good,happiness,Happiness
7.33,,year ending,2012 Q3 - 2013 Q2,S92000003,Scotland,mean-average,Mean Average,happiness,Happiness
